"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"Spider-Man: Brand New Day","2026","TLR","4DX","4/J","Sony","2min 22sec",,"2026-06-15 오후 5:26",,,,,
"Toy Story 5","2026","TLR","SX","Entrance/JP_0703","Disney","30sec","ONLY JP - Dated_0703 version","2026-06-18 오전 11:55",,,,,
"Toy Story 5","2026","TLR","SX","Entrance/JP_NOW","Disney","30sec","ONLY JP - Dated_Now version","2026-06-18 오전 11:55",,,,,
"Moana 2026","2026","TLR","4DX","N/P/5","Disney","2min 11sec",,"2026-06-19 오전 11:17",,,,"https://www.imdb.com/video/vi105367577/",
"Fast and Furious","2026","TLR","4DX","1","Universal","1min 1sec",,"2026-06-19 오전 11:18",,,,,
"Fast and Furious","2026","TLR","4DX","A","Universal","59sec",,"2026-06-19 오전 11:18",,,,,
"The Dog Stars","2026","TLR","4DX","2","Disney","2min 30sec",,"2026-06-19 오전 11:21",,,,"https://www.imdb.com/video/vi595249945/",
"Kingdom 5","2026","TLR","SX","2","Local-Japan",,,"2026-06-19 오후 6:17",,,,,
"Kingdom 5","2026","TLR","4DX","2","Local-Japan",,,"2026-06-19 오후 6:18",,,,,
"Minions & Monsters","2026","TLR","SX","1-SX_JP","Universal","2min 7sec","ONLY JP / It differs from the A/1 version in only one cut.","2026-06-24 오전 7:53",,,,,
"Moana 2026","2026","TLR","SX","C/D/4","Disney","2min 21sec",,"2026-06-26 오전 10:09",,,,"https://www.imdb.com/video/vi4258188057/",
"The End of Oak Street","2026","TLR","4DX","F4","Warner","2min 7sec",,"2026-06-30 오후 4:43",,,,,
"The End of Oak Street","2026","TLR","4DX","2=3","Warner","2min 26sec",,"2026-06-30 오후 4:43",,,,"https://www.imdb.com/video/vi3597781785",
"Minions & Monsters","2026","TLR","SX","Entrance","Disney","30sec",,"2026-06-30 오후 4:46",,,,,
"Forgotten Island","2026","TLR","4DX","E","Universal","2min 22sec",,"2026-07-02 오전 9:02",,,,"https://www.imdb.com/video/vi1147652889",
"Danjiri Festival","2026","TLR","4DX","Pave","Local-Japan","15sec","①第1弾特報15秒","2026-07-02 오전 9:05",,,,,
"Spider-Man: Brand New Day","2026","TLR","SX","Welcome/JP","Sony","32sec","The DCP distribution is included for this asset.","2026-07-09 오전 11:26",,,,,
"Spider-Man: Brand New Day","2026","TLR","SX","Welcome","Sony",,,"2026-07-09 오전 11:26",,,,,
"The Confession of Shaman","2026","TLR","4DX","TH","Local-Thai","2min 03sec",,"2026-07-09 오후 1:58",,,,,
"Cosmic Princess Kaguya!","2026","TLR","4DX","JP","Local-Japan","30s",,"2026-07-14 오전 8:34",,,,,
"Spider-Man: Brand New Day","2026","TLR","SX","Takeover wing","Sony","1min 32sec","with DCP","2026-07-20 오후 4:13",,,,,
"Zero Meets Hero","2026","TLR","4DX","3","Local-Vietnam",,,"2026-07-21 오전 9:01",,,,,
"Street Fighter","2026","TLR","4DX","4DX Bumper","Paramount","1min 12sec",,"2026-07-21 오후 2:42",,"Y",,,
"The Dog Stars","2026","TLR","SX","2/K","Disney","2min 28sec",,"2026-07-23 오후 4:49",,,,"https://www.imdb.com/video/vi595249945/",
"The End of Oak Street","2026","TLR","SX","F4","Warner","2min 7sec",,"2026-07-23 오후 11:57",,,,,
